亻尔女马阴道里长了一颗毒瘤待我一颗手雷扔进去瞬间可以把亻尔女马阴道开拓成宽阔无涯的大黑辶畐,1
你这废物鸡巴跟牙签一样，插到你母狗妈的水缸逼里都搅不动，天天在这对太阳乱吠也不会有三眼怪过来捡你回家喂狗粮的。,1
操你妈的半夜瞎jb吹还发鬼吓我黑名单见,1
我在你妈逼里自由翱翔你妈哭着夸我真强,1
人本初，性本善，锅里煮个大鸡蛋，给我吃我就干，不给我吃咱就散,1
新款到?##每日一新#?特的曲?剪裁鞋面,充?知性典雅的?古?息,吸睛指?破表~??背完美?合的曲?,彷?量身??般,不需害怕扭到??,好走又不?力,喜?的姑娘????什麽de打?店?哦~tel:021-62891014#?南鞋店#,0
在开学的前一日里，我会求佛祖保佑老师重新安排的座位是靠墙或靠窗，这样就有了一个相对独立的私密空间，当ran如能和暗恋的男孩坐同桌或前后，那些什么私密空间顿时就成了狗屁，但这成了一生的遗憾，尼玛总是跟最丑的男同学坐同桌，现在想起，好心疼…好委屈…,0
以前看，，到想,,吐槽现在看到直接想骂人，人家夫妻关系关你毛线事儿，太平洋的警察也没管那么宽的，和你有半毛钱关系嘛，mdzz。随意的去打扰别人在下面发表你的脑残言论，很好玩是吗99？,1
然后，妈妈自己剪了头发，现在看起来好像eason啊。。。,0
尼玛钓鱼？就穆斯林那智商啊？还是自求多福，不要让自己人先把鱼钩咬住，然后被威胁让当地清真寺剁碎吧。,1
真托马zz天天txl是不是就知道这个词啊不会说话嘴不如封上mmp怎么会有这种饭替我哥头痛,1
扔块肉在手机上，007狗都比你会连招。,1
我曾经拍摄过两部反应法国华人艺术家以及在威尼斯双年展上中国当代艺术家的纪录片，就我所接触的诸如严培明，王广义，杨诘昌，侯瀚如，马六明，岳敏君等艺术家而言，他们都善良，有趣，热爱生活，从他们的作品中也不难看出一个艺术家的赤子之心！只是短发与长发的严培明，亻尔更喜欢哪一个呢？,0
买???了个山寨手机，开机我就哭了……,0
评论某ky是傻逼吗？爱爬哪家爬哪家还跑cxr相关刷起你逃起来？你家缺这点热度？药店碧莲好吗，之前爬莲花就给cxr糊屎现在还给cxr糊屎，恶心die。查看图片,1
今天没吃晚饭，难道这个点要去夜宵,0
这个。转帖666很带劲,0
严重声讨@黑兔爷_荷包兔子对一颗好不容易平静之不太衰老的童心吃骡勾引,0
别和我装你活的精彩过的幸福，也别祝我幸福，你游那资格吗,1
